RecordID,lpep_pickup_date,lpep_dropoff_date
56321,2023-02-27,2023-02-27
47516,2023-02-23,2023-02-23
21770,2023-02-10,2023-02-10
27867,2023-02-13,2023-02-13
64783,2023-02-28,2023-02-28
60949,2023-02-05,2023-02-05
58025,2023-02-28,2023-02-28
49208,2023-02-23,2023-02-23
31880,2023-02-15,2023-02-15
16172,2023-02-08,2023-02-08
61074,2023-02-06,2023-02-06
4894,2023-02-03,2023-02-03
17655,2023-02-09,2023-02-09
9638,2023-02-05,2023-02-05
58347,2023-02-28,2023-02-28
12687,2023-02-07,2023-02-07
16150,2023-02-08,2023-02-08
8814,2023-02-04,2023-02-04
868,2023-02-01,2023-02-01
46993,2023-02-22,2023-02-22
1817,2023-02-01,2023-02-01
28953,2023-02-14,2023-02-14
60860,2023-02-05,2023-02-05
19764,2023-02-09,2023-02-09
47730,2023-02-23,2023-02-23
63623,2023-02-21,2023-02-21
1332,2023-02-01,2023-02-01
64630,2023-02-27,2023-02-27
30589,2023-02-15,2023-02-15
52925,2023-02-25,2023-02-25
40365,2023-02-19,2023-02-19
62749,2023-02-16,2023-02-16
42739,2023-02-20,2023-02-20
11006,2023-02-06,2023-02-06
2521,2023-02-02,2023-02-02
10953,2023-02-06,2023-02-06
42850,2023-02-20,2023-02-20
56383,2023-02-27,2023-02-27
604,2023-02-01,2023-02-01
34186,2023-02-16,2023-02-16
26179,2023-02-13,2023-02-13
23219,2023-02-11,2023-02-11
6004,2023-02-03,2023-02-03
56589,2023-02-27,2023-02-27
20539,2023-02-10,2023-02-10
1711,2023-02-01,2023-02-01
44428,2023-02-21,2023-02-21
30288,2023-02-14,2023-02-14
47213,2023-02-22,2023-02-22
33366,2023-02-16,2023-02-16
15214,2023-02-08,2023-02-08
16967,2023-02-08,2023-02-08
24708,2023-02-12,2023-02-12
3873,2023-02-02,2023-02-02
28370,2023-02-14,2023-02-14
56339,2023-02-27,2023-02-27
29506,2023-02-14,2023-02-14
32008,2023-02-15,2023-02-15
59784,2023-02-28,2023-02-28
54717,2023-02-26,2023-02-26
58160,2023-02-28,2023-02-28
41344,2023-02-20,2023-02-20
7208,2023-02-03,2023-02-03
56380,2023-02-27,2023-02-27
35541,2023-02-17,2023-02-17
61593,2023-02-09,2023-02-09
57395,2023-02-27,2023-02-27
34313,2023-02-16,2023-02-16
14261,2023-02-07,2023-02-07
41205,2023-02-19,2023-02-19
59684,2023-02-28,2023-02-28
46661,2023-02-22,2023-02-22
63926,2023-02-23,2023-02-23
48145,2023-02-23,2023-02-23
60034,2023-02-01,2023-02-01
36643,2023-02-17,2023-02-17
26204,2023-02-13,2023-02-13
21083,2023-02-10,2023-02-10
18171,2023-02-09,2023-02-09
15134,2023-02-08,2023-02-08
59733,2023-02-28,2023-02-28
61049,2023-02-06,2023-02-06
3891,2023-02-02,2023-02-02
20882,2023-02-10,2023-02-10
61601,2023-02-09,2023-02-09
18287,2023-02-09,2023-02-09
5676,2023-02-03,2023-02-03
46297,2023-02-22,2023-02-22
52446,2023-02-25,2023-02-25
57699,2023-02-27,2023-02-27
38364,2023-02-18,2023-02-18
54770,2023-02-26,2023-02-26
52578,2023-02-25,2023-02-25
12155,2023-02-06,2023-02-06
7041,2023-02-03,2023-02-03
30082,2023-02-14,2023-02-14
59945,2023-02-28,2023-02-28
61313,2023-02-08,2023-02-08
31328,2023-02-15,2023-02-15
23224,2023-02-11,2023-02-11
16394,2023-02-08,2023-02-08
28505,2023-02-14,2023-02-14
11359,2023-02-06,2023-02-06
2436,2023-01-26,2023-01-26
46732,2023-02-22,2023-02-22
34528,2023-02-16,2023-02-16
11559,2023-02-06,2023-02-06
55817,2023-02-27,2023-02-27
10515,2023-02-06,2023-02-06
28195,2023-02-14,2023-02-14
49116,2023-02-23,2023-02-23
46726,2023-02-22,2023-02-22
46163,2023-02-22,2023-02-22
50554,2023-02-24,2023-02-24
47973,2023-02-23,2023-02-23
13024,2023-02-07,2023-02-07
19707,2023-02-09,2023-02-09
39662,2023-02-19,2023-02-19
34861,2023-02-16,2023-02-16
37927,2023-02-18,2023-02-18
3355,2023-02-02,2023-02-02
3582,2023-02-02,2023-02-02
15073,2023-02-08,2023-02-08
1557,2023-02-01,2023-02-01
37507,2023-02-17,2023-02-17
50381,2023-02-24,2023-02-24
56285,2023-02-27,2023-02-27
43818,2023-02-21,2023-02-21
49480,2023-02-23,2023-02-23
24219,2023-02-11,2023-02-11
53230,2023-02-25,2023-02-25
16891,2023-02-08,2023-02-08
29806,2023-02-14,2023-02-14
53202,2023-02-25,2023-02-25
47504,2023-02-23,2023-02-23
40067,2023-02-19,2023-02-19
18491,2023-02-09,2023-02-09
18285,2023-02-09,2023-02-09
34379,2023-02-16,2023-02-16
21693,2023-02-10,2023-02-10
24537,2023-02-12,2023-02-12
8567,2023-02-04,2023-02-04
4372,2023-02-02,2023-02-02
62063,2023-02-12,2023-02-12
28899,2023-02-14,2023-02-14
35174,2023-02-17,2023-02-17
